Source File,Content,Translated Content
01_deputy_economy_minister.csv,1tv_news1,"It appears you have provided a reference identifier (**1tv_news1**) rather than the actual Georgian text. In professional translation contexts, this ID typically refers to content from the **First Channel of Georgia (1TV)**.

If you intended to translate the identifier itself or the brand it represents:

**1TV News 1** (or **First Channel News 1**)

***

**Note:** If you have a specific news article or a paragraph of Georgian text associated with this ID that you would like me to translate, please paste the content here. I will ensure the translation is professional and maintains all Markdown formatting."
01_deputy_economy_minister.csv,"ვახტანგ ცინცაძე - აზიის განვითარების ბანკის ანგარიშში ხაზგასმულია საქართველოს მიმზიდველი ბიზნესგარემო, ასევე მიმდინარე ინფრასტრუქტურული პროექტები, მათ შორის საპორტო და სარკინიგზო მიმართულებით","Vakhtang Tsintsadze - The Asian Development Bank report highlights Georgia's attractive business environment, as well as ongoing infrastructure projects, including those in the port and railway sectors."
01_deputy_economy_minister.csv,"15:29, 10.04.2026","15:29, 10.04.2026"
01_deputy_economy_minister.csv,"აზიის განვითარების ბანკმა აზიის ეკონომიკური პერსპექტივების ანგარიში გამოაქვეყნა, რომლის თანახმად, 2025 წელს ეკონომიკური ზრდა იყო საკმაოდ მაღალი – 7.5 პროცენტი, ხოლო 2026 წელს, მიმდინარე კონფლიქტების ფონზე, აზიის განვითარების ბანკი ელოდება, რომ საქართველოში ეკონომიკური ზრდა 5.5 პროცენტი იქნება, რაც წინა წლის პროგნოზთან შედარებით 0.5 პროცენტული პუნქტით გაუმჯობესებული მაჩვენებელია, – ამის შესახებ ეკონომიკისა და მდგრადი განვითარების მინისტრის მოადგილემ, ვახტანგ ცინცაძემ განაცხადა.","The Asian Development Bank has published the Asian Development Outlook report, according to which economic growth in 2025 was quite high at 7.5 percent. For 2026, against the backdrop of ongoing conflicts, the Asian Development Bank expects economic growth in Georgia to be 5.5 percent, which is an improvement of 0.5 percentage points compared to the previous forecast—this was stated by the Deputy Minister of Economy and Sustainable Development, Vakhtang Tsintsadze."
01_deputy_economy_minister.csv,"როგორც მინისტრის მოადგილემ აღნიშნა, აზიის განვითარების ბანკი ყურადღებას ამახვილებს მიმდინარე ანგარიშის დეფიციტის რეკორდულად დაბალ დონემდე შემცირებაზე, ასევე საერთაშორისო რეზერვების რეკორდულად მაღალ მაჩვენებელზე.","As the Deputy Minister noted, the Asian Development Bank highlights the reduction of the current account deficit to a record low, as well as the record high level of international reserves."
01_deputy_economy_minister.csv,"ვახტანგ ცინცაძის განცხადებით,  2026 წელს აზიის განვითარების ბანკი ელოდება, რომ საქართველოში საშუალო ინფლაციის დონე 3.8 პროცენტი იქნება, რაც წინა წელთან შედარებით შემცირებული მაჩვენებელია.","According to Vakhtang Tsintsadze, the Asian Development Bank expects the average inflation rate in Georgia to be 3.8 percent in 2026, which is a decrease compared to the previous year."
01_deputy_economy_minister.csv,"„აზიის განვითარების ბანკი ასევე ხაზგასმით აღნიშნავს, რომ საქართველო ისწრაფვის, გახდეს სავაჭრო, ლოგისტიკური და სატრანსპორტო ჰაბი. ამ მიმართულებით ყურადღება მახვილდება არაერთ რეფორმაზე, რომელიც ხელს უწყობს, მათ შორის, საბაჟო და სხვა პროცედურების გაუმჯობესებას. ბანკი ასევე ხაზს უსვამს იმ ინფრასტრუქტურულ მიღწევებს, რომლებიც საქართველოს გააჩნია როგორც საპორტო, ასევე სარკინიგზო მიმართულებით“, – განაცხადა ვახტანგ ცინცაძემ.","“The Asian Development Bank also emphasizes that Georgia aspires to become a trade, logistics, and transport hub. In this regard, attention is focused on numerous reforms that facilitate, among other things, the improvement of customs and other procedures. The Bank also highlights the infrastructural achievements that Georgia has in both the port and railway sectors,” stated Vakhtang Tsintsadze."
01_deputy_economy_minister.csv,"ეკონომიკის მინისტრის მოადგილის ინფორმაციით, ADB-ს ანგარიშში ხაზგასმულია საქართველოში არსებული მიმზიდველი ბიზნესგარემო, ყურადღება გამახვილებულია თავისუფალ სავაჭრო შეთანხმებებზე, რომლებიც საქართველოს გააჩნია, ასევე იმ მექანიზმებზე, რომლებიც უზრუნველყოფს ინვესტორთა დაცულობას, რაც, საბოლოო ჯამში, ზრდის როგორც ადგილობრივი, ისე საერთაშორისო ინვესტორების  ნდობას და მიმზიდველობას საქართველოსადმი.","According to the Deputy Minister of Economy, the ADB report highlights Georgia's attractive business environment, focusing on the free trade agreements the country possesses, as well as the mechanisms that ensure investor protection. Ultimately, this increases the confidence of both local and international investors and enhances Georgia's attractiveness."
02_georgia_to_recognise.csv,1tv_news2,**1tv_news2**
02_georgia_to_recognise.csv,"მთავრობის გადაწყვეტილებით, 2010 წლამდე გაცემული დიპლომების აღიარების შესახებ საკანონმდებლო ცვლილებები მომზადდება","By decision of the government, legislative changes will be prepared regarding the recognition of diplomas issued before 2010."
